FACULTAD,PROGRAMA ACADÉMICO,SEDE,2014,2015,2016-10,2016-20,2018,2019,2020-10,2020-20,2021-10,2021-20
FADU,PARQ,Tunja y Yopal,1,0,1,1,1,0,0,1,1,2
FADU,PDGR,Tunja y Yopal,2,0,1,0,1,0,0,1,0,1
FADU,PDMO,Tunja y Yopal,0,0,1,0,1,0,0,1,0,1
FADU,EDUR,Tunja y Yopal,0,0,1,0,1,0,0,0,0,0
FADU,MURB,Tunja y Yopal,0,0,1,0,1,0,0,0,0,1
FCAC,PAEM,Tunja y Yopal,1,0,1,1,1,0,0,1,0,1
FCAC,PAFS,Tunja y Yopal,0,0,0,1,0,0,0,0,0,-
FCAC,PANI,Tunja y Yopal,1,0,1,1,1,0,0,1,0,1
FCAC,PCPU,Tunja y Yopal,1,0,1,1,0,0,0,0,0,1
FCAC,EGPR,Tunja y Yopal,0,0,0,1,1,0,0,1,0,0
FCAC,EGME,Tunja y Yopal,1,0,0,0,1,0,0,0,0,0
FCAC,ETRI,Tunja y Yopal,0,0,1,0,0,0,0,0,0,0
FCAC,MADM,Tunja y Yopal,0,0,0,0,0,0,0,0,0,1
FCJS,MDPP,Tunja y Yopal,0,0,0,0,0,0,0,0,0,1
FCJS,PDCP,Tunja y Yopal,2,0,1,1,1,0,0,1,0,1
FCJS,PCSO,Tunja y Yopal,1,0,1,1,2,0,0,1,0,1
FCJS,EPDC,Tunja y Yopal,0,0,0,0,0,0,0,1,0,1
FCIN,PIAM,Tunja y Yopal,0,0,1,0,1,0,0,1,0,1
FCIN,PIIN,Tunja y Yopal,1,0,1,1,2,0,0,1,0,1
FCIN,PISA,Tunja y Yopal,2,0,0,1,1,0,0,1,0,0
FCIN,PISA-PIAM,Tunja y Yopal,0,0,1,0,0,0,0,0,0,1
FCIN,PISI,Tunja y Yopal,2,0,1,1,1,0,0,1,0,1
FCIN,PIME,Tunja y Yopal,0,0,0,0,1,0,0,1,0,1
FCIN,EIAM,Tunja y Yopal,0,0,0,1,1,0,0,1,0,0
FCIN,EGSI,Tunja y Yopal,0,0,1,0,0,0,0,0,0,0
FCIN,EGAM,Tunja y Yopal,0,0,1,0,0,0,0,0,0,0
FCIN,ESIG,Tunja y Yopal,0,0,1,0,1,0,0,1,0,1
FCIN,ETEL,Tunja y Yopal,0,0,1,0,0,0,0,0,0,0
FCHE,PSIC,Tunja y Yopal,1,0,1,0,1,0,0,0,0,1
FCSA,PBLC,Tunja y Yopal,1,0,1,1,1,0,0,1,0,1
FCSA,PMED,Tunja y Yopal,1,0,1,2,2,0,0,1,0,1
FCSA,PFIT,Tunja y Yopal,1,0,1,1,1,0,0,1,0,1
FCSA,PTRE,Tunja y Yopal,1,0,1,1,1,0,0,1,0,1
FCSA,PIQU,Tunja y Yopal,1,0,1,1,1,0,0,1,0,1
FCSA,PENF,Tunja y Yopal,0,0,0,0,1,0,0,1,0,2
FCSA,EEPI,Tunja y Yopal,1,0,1,1,1,0,0,0,0,1
FCSA,EGIS,Tunja y Yopal,1,0,1,1,1,0,0,0,0,0
FCSA,EGLC,Tunja y Yopal,0,0,1,0,1,0,0,0,0,0
