SEDE,FACULTAD,PROGRAMA O DEPENDENCIA,PROYECTO DE PROYECCIÓN SOCIAL,EJECUTOR(ES),INICIO,FIN,ESTADO DEL PROYECTO,COMUNIDAD BENEFICIADA,Nacional,Docentes,Estudiantes,TIPO DE APOYO Y/O RECURSOS ASIGNADOS AL PROYECTO,BREVE DESCRIPCIÓN DEL RECURSO,Propia,Nacional2
Tunja,FCAC,PADM,PROMOCIÓN DEL ESPÍRITU EMPRESARIAL DE LA ASOCIACIÓN DE RECICLADORES DE TUNJA-RECITUNJA,"ADM. JENNY AVENDAÑO 
ADM. OMAR OLIVEROS 
ADM. DIANA  CATALINA MEDINA",2010,2014,FINALIZADO,ASOCIACIÓN DE RECICLADORES DE TUNJA - RECITUNJA,Si,8,0,$ 25.000.000,"Horas de ejecución de los docentes ejecutores del proyecto, desplazamiento de los docentes. Recursos físicos (materiales)",Si,No
Tunja,FCIN,PIIN,CREACIÓN DE VALOR AGREGADO EN LAS FAMIEMPRESAS DE LA CIUDAD DE TUNJA. FASE II,"ING. SONIA MILENA FORERO ROPERO 
ING. MARTHA LILIANA CASTILLO MONRO Y ALTERNATIVAS DE GRADO DE PIIN",2012,2014,FINALIZADO,35 FAMIEMPRESARIOS DE LA CIUDAD DE TUNJA,Si,4,7,$ 12.000.000,"Recursos humanos y físicos (materiales, equipos, papelería) Transporte.",Si,No
Tunja,FCJS,PDCP,"LOS SISTEMAS ALTERNATIVOS DE SOLUCIÓN DE CONFLICTOS UN MECANISMO PARA EFECTIVIZAR LA PAZ, EN LA INSTITUCIÓN EDUCATIVA JULIUS SIEBER DE LA CIUDAD DE TUNJA.","ABG. RAQUEL GÓMEZ 
ABG. MÓNICA RODRÍGUEZ 
ABG. OLGA MORCOTE 
DRA. CLARA INÉS CARREÑO TARAZONA",2010,2015,FINALIZADO,COLEGIO JULIUS SIEBER,Si,7,14,$ 42.400.000,"Horas de ejecución de los docentes ejecutores del proyecto, desplazamiento de los docentes. Recursos físicos (materiales)",Si,Si
Tunja,FCAC,PADM,FORTALECIMIENTO DE CAPACIDADES EMPRESARIALES PARA LA CONFORMACIÓN DE UNA UNIDAD PRODUCTIVA EN LA POBLACIÓN CON DISCAPACIDAD Y SUS CUIDADORES DIRECTOS VINCULADOS AL CENTRO DE ATENCIÓN Y DESARROLLO DE HABILIDADES ESPECIALES ANGELITA CASTIBLANCO DE PARRA DEL MUNICIPIO DE SAMACÁ (BOYACÁ),ADM. DIANA CATALINA MEDINA ADM. DIANA MARÍA DUEÑAS,2014,2015,FINALIZADO,MIEMBROS DEL CENTRO DE ATENCIÓN Y DESARROLLO DE HABILIDADES ESPECIALES ANGELITA CASTRO PARRA,Si,3,1,$ 10.000.000,"Horas de ejecución de los docentes ejecutores del proyecto, desplazamiento de los docentes. Recursos físicos (materiales)",Si,No
Tunja,FCIN,PIAM,ESTRATEGIAS TÉCNICO-EDUCATIVAS PARA EL MANEJO ADECUADO DE RESIDUOS SÓLIDOS ORDINARIOS EN LA UNIVERSIDAD DE BOYACÁ Y SU ENTORNO.,ING. NATALIA SÁNCHEZ Y ESTUDIANTES VOLUNTARIOS DE PIAM,2013,2015,FINALIZADO,"2780 PERSONAS ENTRE ESTUDIANTES, DOCENTES Y COMUNIDAD EN GENERAL DEL SECTOR SENSIBILIZADAS POR EL PROCESO",Si,1,30,$ 24.068.000,"Horas de ejecución de los docentes ejecutores del proyecto, desplazamiento de los docentes. Recursos físicos (materiales)",Si,No
Tunja,FCIN,PISA,ESTRATEGIAS DE SANEAMIENTO EN LAS LÍNEAS DE SERVICIOS BÁSICOS Y EDUCACIÓN SANITARIA Y AMBIENTAL DIRIGIDA A COMUNIDADES RURALES DEL MUNICIPIO DE SAMACÁ.,ING. DORA MARCELA BENÍTEZ RAMÍREZ Y ALTERNATIVAS DE GRADO DE PISA PRÁCTICAS PROFESIONALES DE INGENIERÍA,2012,2016,FINALIZADO,1790 HABITANTES DE LA ZONA RURAL DEL MUNICIPIO DE SAMACÁ,Si,1,25,$ 63.835.200,"Recursos humanos y físicos (materiales, equipos, papelería) Transporte.",Si,No
Tunja,FADU,PDGR,ESiPLORADORES: ESTRATEGIA PEDAGÓGICA PARA EL MEJORAMIENTO DE LAS COMPETENCIAS LECTO-ESCRITURALES DESDE EL DISEÑO EN ESTUDIANTES DE BÁSICA PRIMARIA.,DIS. NANCY QUIROGA BUITRAGO Y ALTERNATIVAS DE GRADO DE PDGR ,2010,2017,FINALIZADO,INSTITUCIÓN EDUCATIVA SILVINO RODRÍGUEZ (SEDE EL DORADO),Si,1,560,$ 29.410.000,Coproducción del Periódico Escolar con trabajo colaborativo de estudiantes y comunidad. Impresión de 500 Ejemplares Semestrales.,Si,No
Tunja,FADU,PDGR,PEQUEÑAS IDEAS EN GRANDES FORMATOS: GENERACIÓN DE ESTRATEGIAS E INICIATIVAS EN TORNO A LA CULTURA CIUDADANA Y A LA CIUDADANÍA ACTIVA,DIS. MARCELA ARANGO,2016,2017,FINALIZADO,COMUNIDAD EN GENERAL DE LA CIUDAD DE TUNJA,Si,1,50,$ 6.695.755,"Horas de ejecución de los docentes ejecutores del proyecto, desplazamiento de los docentes. Recursos físicos (materiales)",Si,Si
Tunja,FCIN,PIIN,CREACIÓN DE VALOR AGREGADO EN LAS FAMIEMPRESAS DE LA CIUDAD DE TUNJA. FASE II,ING. PAOLA ANDREA DE ANTONIO BOADA,2015,2017,FINALIZADO,39 FAMIEMPRESARIOS DE LA CIUDAD DE TUNJA,Si,5,15,$ 82.324.000,"Instalaciones, Materiales y recurso humano desarrollado en 8 actividades.",Si,No
Tunja,FCJS,PDCP,"CONSTRUYENDO ESCUELAS, FAMILIAS, CREANDO CONCIENCIA DE LA NO VIOLENCIA EN LA COMUNIDAD DE LA URBANIZACIÓN ANTONIA SANTOS DE LA CIUDAD DE TUNJA""",ABG. FANNY RAQUEL GÓMEZ RODRÍGUEZ,2016,2018,FINALIZADO,COMUNIDAD DE LA URBANIZACIÓN ANTONIA SANTOS,Si,1,15,$ 3.400.000,"Horas de ejecución, actividades",Si,No
