SEDE,FACULTAD,PROGRAMA O DEPENDENCIA,NOMBRE DE LA ACTIVIDAD,RESPONSABLE(S),COMUNIDAD BENEFICIADA,VOLUNTARIADO,DESDE ASIGNATURA,NOMBRE DE LA ASIGNATURA (Aplica para actividades desde asignatura),NACIONAL,INTERNACIONAL,ESTUDIANTES,DOCENTES,BENEFICIARIOS,AÑO DE RELACIÓN
Tunja,FCSA,PMED, ATENCIÓN PRIMARIA EN SALUD. PROMOCIÓN DE LA SALUD Y PREVENCIÓN DE ENFERMEDAD,KATHERINE MARIÑO,"E.S.E SANTIAGO DE TUNJA, USUARIOS CONSULTA ESiTERNA",Si,No,,Si,0,0,0,0,2015
Tunja,FCSA,PENF,ESTILOS DE VIDA SALUDABLE EN EL ADULTO MAYOR. PREVENCIÓN DE ENFERMEDAD,MARÍA OLGA JIMÉNEZ REYES Y OMAR IVÁN VARGAS.,"ASOCIACIÓN APRENDIENDO A CONSTRUIR; COMEDOR COMUNITARIO, HOGAR GERIÁTRICO.",Si,No,,Si,0,0,0,0,2015
Tunja,FCSA,PMED, SALUD SESiUAL Y REPRODUCTIVA. PROMOCIÓN DE LA SALUD,JHON ALESiANDER MANRIQUE,"E.S.E SANTIAGO DE TUNJA, USUARIOS CONSULTA ESiTERNA.",Si,No,,Si,0,0,0,0,2015
Tunja,FCSA,PMED,ACTIVIDADES DE PROMOCIÓN DE LA SALUD Y PREVENCIÓN DE LA ENFERMEDAD.,JULIETH RODRÍGUEZ ROBAYO,USUARIOS DE CONSULTA ESiTERNA EN EL PROGRAMA DE CRECIMIENTO Y DESARROLLO,No,Si,PEDIATRIA,Si,0,161,0,0,20142019
Tunja,FCJS,PCSO,ACCIÓN VALORARTE,ETHNA YANIRA ROMERO GARZÓN,12 PADRES DE FAMILIAS Y 62 NIÑOS DE LA COMUNIDAD DEL BARRIO PATRIOTAS.,No,Si,COMUNICACIÓN PARA EL DESARROLLO,Si,0,13,0,0,2016
Tunja,FCSA,PIQU,ÁCIDO FÓLICO EN EMBARAZO Y LAVADO DE MANOS EN EL PUERPERIO,LUZ ÁNGELA BUITRAGO ORJUELA ,15 GESTANTES DE LA  EPS SALUDCOOP ,No,Si,FUNDAMENTOS Y PROCESOS QUIRÚRGICOS EN GINECOLOGÍA,Si,0,10,0,0,2018
Tunja,FCSA,PIQU,ÁCIDO FÓLICO EN MUJERES GESTANTES Y LAVADO DE MANOS EN EL EMBARAZO,LUZ ÁNGELA BUITRAGO ORJUELA ,40 USUARIOS DE LA EPS MEDIMAS - CONSULTA ESiTERNA,No,Si,FUNDAMENTOS Y PROCESOS QUIRÚRGICOS I,Si,0,15,0,0,2017
Tunja,"FCHE 
FCSA 
FCJS ","PSIC
PMED
PENF
PBLC
PDMO
PDGR","ACOMPAÑAMIENTO A ACTIVIDADES EN EL MARCO DEL PROYECTO ""SÍ A LA INCLUSIÓN SÍ A LA EDUCACIÓN"" DEL PROGRAMA DE PSIC.",ÓSCAR ADOLFO QUINTERO FERRO,600 ESTUDIANTES DE LA INSTITUCIÓN EDUCATIVA RURAL DEL SUR-TUNJA,Si,No,,Si,0,0,0,0,2017
Tunja,FCHE,PSIC,ACOMPAÑAMIENTO A HABITANTES DE LA FUNDACIÓN NUEVO AMANECER,MÓNICA PÉREZ PRADA,70 HABITANTES DE LA FUNDACIÓN NUEVO AMANECER,No,Si,DESARROLLO ADULTO,Si,0,0,0,0,2016
Tunja,FCSA,PENF,ACTIVIDAD FÍSICA PARA PREVENIR LAS ENFERMEDADES CRÓNICAS NO TRANSMISIBLES. PROMOCIÓN DE LA SALUD,MARÍA OLGA JIMÉNEZ REYES Y OMAR IVÁN VARGAS.,"ASOCIACIÓN APRENDIENDO A CONSTRUIR; COMEDOR COMUNITARIO, HOGAR GERIÁTRICO  ",Si,No,,Si,0,0,0,0,2015
Tunja,FCSA,PMED,"ACTIVIDADES RECREATIVAS, MANEJO DEL TIEMPO LIBRE. PROMOCIÓN DE LA SALUD MENTAL",SANDRA MONTOYA,USUARIOS CENTRO DE REHABILITACIÓN INTEGRAL DE BOYACÁ,Si,No,,Si,0,0,0,0,2015
Tunja,FCIN,PIAM,"ACTUALIZACIÓN PLAN DE MANEJO AMBIENTAL, MINA LA PERIQUERA, VEREDA CRUZ DE MURCIA, MUNICIPIO DE PAIPA",ZULMA ROCHA GIL,92 PERSONAS (12 EMPLEADOS MINA Y 80 PERSONAS EN LA VEREDA),No,Si,EDUCACIÓN AMBIENTAL,Si,0,0,0,0,2017
Tunja,FCSA,PENF,"ADHERENCIA A LA INFORMACIÓN, COMUNICACIÓN Y EDUCACIÓN SOBRE LOS CUIDADOS POST VACÚNALES EN LOS PADRES Y CUIDADORES DE NIÑOS Y NIÑAS VACUNADOS EN LA ESE SANTIAGO DE TUNJA, 2018-2020",CINTHYA MARCELA MARTÍNEZ ESCALANTE ,PADRES Y CUIDADORES DE NIÑOS Y NIÑAS VACUNADOS EN LA ESE SANTIAGO DE TUNJA,No,Si,ROTACIÓN PAI CUIDADO A LA MUJER AL LACTANTE AL NIÑO Y AL ADOLESCENTE,Si,0,0,0,0,2018
Tunja,FCIN,PIAM,TALLER AMBIENTAL I.E. SIMÓN BOLÍVAR DE SORACÁ,ÓSCAR ADOLFO QUINTERO FERRO,80 ESTUDIANTES DE LA I.E. SIMÓN BOLÍVAR DE SORACÁ ,Si,No,,Si,0,3,0,0,2019
Tunja,FCIN,PISA,"APOYO METODOLÓGICO RED AMBIENTAL CUENCAS SARAVITA, CARARE Y OPÓN. ",ÓSCAR ADOLFO QUINTERO FERRO,6 VEEDURÍAS Y 4 ASOCIACIONES COMUNALES DE LOS MUNICIPIOS DE ESTAS CUENCAS. ,Si,No,,Si,0,1,0,0,2019
Tunja,FCIN,PIAM,ANÁLISIS DE CICLO DE VIDA Y OPORTUNIDAD DE APROVECHAMIENTO DE LAS TAPAS DE ENVASES DE BEBIDAS,NATALIA SÁNCHEZ,COMUNIDAD DE 55 RECICLADORES DE DUITAMA.,No,Si,RESIDUOS SÓLIDOS,Si,0,0,0,0,2017
Sogamoso,FCJS,PDCP,ANÁLISIS DE LA POLÍTICA PÚBLICA SOCIAL DEL ENVEJECIMIENTO Y VEJEZ. ESTUDIO DE CASO: HOGAR EL FARO DE EMANAÚS DEL MUNICIPIO DE SOGAMOSO.,GIOVANNI FERNANDO AMADO OLIVEROS,"EL HOGAR FARO DE EMANAÚS DEL MUNICIPIO DE SOGAMOSO,",No,Si,METODOLOGÍA Y PRÁCTICA DE LA INVESTIGACIÓN,Si,0,0,0,0,2019
Tunja,FCIN,PISI,ANÁLISIS Y SENSIBILIZACIÓN PARA EL MEJORAMIENTO DE LOS SISTEMAS DE INFORMACIÓN APLICADOS EN EMPRESAS U ORGANIZACIONES DEL ENTORNO.,DAVID FERNANDO BERNAL BOLÍVAR,6 EMPRESAS DE LA CIUDAD DE TUNJA.,No,Si,SISTEMAS DE INFORMACIÓN,Si,0,0,0,0,2018
Tunja,FCAC,PAEM,APLICACIÓN DE HERRAMIENTAS DE GESTIÓN A MICRO Y PEQUEÑAS EMPRESAS,DEYSI LORENA BARRETO,11 POSADAS TURÍSTICAS EN LA PROVINCIA DEL ALTO RICAURTE.,No,Si,TALLER DE GESTIÓN EMPRESARIAL,Si,0,9,0,0,2016
